"booking_status","booking_type","previous_cancellations","previous_non_canceled_bookings","adults","children","weekend_nights","week_nights","room_price","special_requests","meal_plan","reserved_parking_space","room_type","lead_time_days","arrival_occupancy_season"
"not_canceled","online",0,0,2,0,1,2,78.3,0,"continental",1,"suite",90,"moderate"
"not_canceled","online",0,0,2,0,1,3,90,2,"continental",0,"suite",5,"peak"
"canceled","online",0,0,2,0,0,3,98,1,"continental",1,"suite",5,"peak"
"canceled","online",0,0,1,0,2,0,114,0,"continental",0,"suite",18,"peak"
"not_canceled","online",0,0,2,0,2,3,105,0,"continental",0,"suite",21,"moderate"
"not_canceled","corporate_partner",0,3,2,0,1,0,75,0,"continental",0,"suite",0,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,3,100,0,"modified_american",1,"suite",85,"moderate"
"canceled","online",0,0,2,2,0,2,225,0,"continental",0,"executive_suite",13,"peak"
"not_canceled","mobile_app",0,0,1,0,0,2,95,0,"continental",0,"suite",192,"peak"
"not_canceled","mobile_app",0,0,2,0,2,1,101,0,"modified_american",1,"suite",150,"low"
"not_canceled","mobile_app",0,0,2,0,0,2,121,0,"modified_american",0,"suite",30,"moderate"
"not_canceled","online",0,0,1,0,1,1,98,0,"continental",0,"suite",85,"low"
"not_canceled","online",0,0,2,1,2,0,152.1,1,"continental",0,"suite",62,"moderate"
"canceled","mobile_app",0,0,2,0,0,2,115,0,"modified_american",0,"suite",292,"peak"
"not_canceled","mobile_app",0,0,2,1,1,2,80.75,1,"continental",1,"suite",0,"peak"
"not_canceled","online",0,0,1,0,0,1,124,1,"continental",1,"suite",14,"peak"
"not_canceled","online",0,0,2,0,1,3,155,1,"continental",1,"studio",0,"moderate"
"not_canceled","online",0,0,2,1,0,4,119,1,"continental",0,"suite",1,"moderate"
"not_canceled","mobile_app",0,0,2,0,1,1,96.3,0,"continental",0,"studio",44,"peak"
"canceled","travel_agency",0,0,2,0,0,3,130,0,"continental",0,"suite",213,"moderate"
"not_canceled","mobile_app",0,0,2,0,1,3,76,0,"continental",0,"suite",133,"peak"
"not_canceled","online",0,0,2,0,0,2,139,2,"american",0,"suite",24,"peak"
"not_canceled","online",0,0,2,0,0,2,128.8,1,"continental",0,"suite",141,"moderate"
"not_canceled","online",0,0,2,0,0,2,136.8,1,"modified_american",0,"studio",87,"low"
"canceled","online",0,0,2,0,0,3,165.6,0,"modified_american",0,"suite",190,"moderate"
"not_canceled","online",0,0,1,0,1,2,129,2,"continental",0,"suite",25,"moderate"
"not_canceled","online",0,0,2,0,0,3,151.33,0,"continental",0,"suite",5,"moderate"
"not_canceled","mobile_app",0,0,2,0,2,1,75,0,"continental",0,"suite",83,"low"
"canceled","online",0,0,2,0,2,6,111.78,0,"continental",0,"suite",153,"peak"
"canceled","online",0,0,2,0,2,3,143.1,0,"continental",0,"studio",153,"moderate"
"not_canceled","corporate_partner",0,0,1,0,0,3,76,0,"continental",0,"studio",16,"moderate"
"not_canceled","online",0,0,1,0,1,1,153.23,1,"continental",0,"suite",26,"low"
"canceled","online",0,0,2,0,0,3,79.2,0,"american",0,"suite",58,"low"
"not_canceled","mobile_app",0,0,2,0,1,2,107,0,"continental",0,"studio",24,"moderate"
"not_canceled","online",0,0,1,0,0,1,81.9,2,"continental",0,"studio",65,"low"
"canceled","online",0,0,2,0,1,3,80.75,0,"american",0,"suite",240,"moderate"
"canceled","online",0,0,1,0,2,1,89.1,0,"continental",0,"suite",66,"moderate"
"not_canceled","online",0,0,1,0,0,1,90.71,0,"american",0,"suite",0,"moderate"
"not_canceled","online",0,0,2,0,2,1,109.8,1,"continental",0,"studio",67,"moderate"
"not_canceled","online",0,0,2,0,0,2,95,0,"american",1,"suite",2,"low"
"canceled","travel_agency",0,0,1,0,0,3,110,0,"continental",0,"suite",166,"moderate"
"canceled","online",0,0,2,0,1,2,117.04,1,"american",0,"suite",10,"moderate"
"canceled","online",0,0,2,0,0,4,90.65,2,"continental",0,"studio",190,"peak"
"canceled","online",0,0,2,0,1,1,79.2,0,"american",0,"suite",130,"low"
"not_canceled","travel_agency",0,0,2,0,0,4,85.85,1,"continental",0,"suite",57,"moderate"
"not_canceled","corporate_partner",0,2,1,0,0,1,89,1,"continental",1,"suite",57,"moderate"
"not_canceled","online",0,0,2,0,1,0,90,2,"continental",0,"suite",135,"low"
"canceled","mobile_app",0,0,2,0,0,2,101.5,0,"modified_american",0,"suite",102,"moderate"
"not_canceled","online",0,0,2,0,1,5,114.3,1,"continental",1,"suite",103,"peak"
"not_canceled","online",0,0,2,0,0,1,91,1,"american",1,"suite",1,"low"
"not_canceled","mobile_app",0,0,1,1,1,3,154.29,1,"continental",1,"suite",78,"low"
"not_canceled","travel_agency",0,0,2,0,1,0,114.73,2,"american",0,"suite",4,"moderate"
"not_canceled","online",0,0,2,0,0,3,82.61,1,"continental",0,"suite",29,"moderate"
"not_canceled","online",0,0,2,0,1,0,98.1,1,"american",1,"suite",40,"peak"
"canceled","mobile_app",0,0,2,0,1,1,111,0,"modified_american",0,"suite",247,"peak"
"not_canceled","online",0,0,2,0,0,3,109.33,1,"american",1,"suite",9,"low"
"canceled","online",0,0,2,0,0,3,104.4,1,"continental",0,"studio",119,"moderate"
"canceled","online",0,0,2,0,0,3,88,0,"american",0,"suite",21,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,3,86,0,"continental",0,"suite",15,"low"
"not_canceled","mobile_app",0,0,1,0,0,2,80,0,"modified_american",0,"suite",74,"moderate"
"not_canceled","online",0,0,2,0,0,1,166,3,"continental",0,"studio",1,"peak"
"not_canceled","online",0,0,2,0,1,0,104.85,1,"continental",1,"studio",66,"moderate"
"canceled","mobile_app",0,0,2,0,2,0,110,0,"modified_american",0,"suite",275,"moderate"
"not_canceled","travel_agency",0,0,2,0,2,1,81,0,"american",0,"suite",1,"moderate"
"canceled","online",0,0,2,0,0,1,81.08,0,"continental",0,"suite",41,"moderate"
"canceled","mobile_app",0,0,2,0,2,3,102,0,"continental",0,"suite",192,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,2,101.5,0,"modified_american",0,"suite",57,"peak"
"not_canceled","online",0,0,2,0,0,4,82.45,2,"continental",0,"suite",275,"low"
"canceled","travel_agency",0,0,2,0,0,3,106.5,1,"continental",0,"suite",76,"moderate"
"not_canceled","online",0,0,2,0,0,1,131,1,"continental",1,"suite",9,"moderate"
"canceled","online",0,0,2,0,0,3,135.9,0,"continental",0,"suite",72,"peak"
"canceled","online",0,0,2,0,2,1,125.1,1,"american",0,"suite",60,"moderate"
"canceled","online",0,0,2,0,2,1,117.9,0,"continental",0,"suite",54,"peak"
"not_canceled","online",0,0,2,0,2,3,76.5,2,"continental",0,"suite",151,"peak"
"not_canceled","mobile_app",0,0,2,0,2,2,87,0,"continental",1,"suite",115,"low"
"not_canceled","online",0,0,1,0,2,2,97.75,1,"continental",0,"suite",38,"peak"
"canceled","online",0,0,2,1,1,3,119.85,2,"continental",0,"suite",217,"moderate"
"not_canceled","online",0,0,2,0,0,3,103.5,2,"american",0,"suite",134,"peak"
"not_canceled","online",0,0,1,0,0,3,87.01,1,"american",0,"suite",11,"moderate"
"not_canceled","online",0,0,2,0,1,4,91.48,1,"continental",1,"studio",85,"peak"
"not_canceled","online",0,1,2,0,1,2,164,0,"continental",0,"studio",15,"moderate"
"not_canceled","online",0,0,2,0,2,3,126.72,2,"continental",0,"suite",83,"moderate"
"not_canceled","travel_agency",0,1,1,0,0,1,99.45,0,"continental",1,"suite",5,"moderate"
"not_canceled","online",0,0,2,0,0,0,124,2,"continental",0,"suite",27,"moderate"
"not_canceled","corporate_partner",1,4,1,0,0,2,88,0,"continental",0,"suite",1,"low"
"canceled","online",0,0,2,0,0,3,141,0,"continental",0,"suite",27,"moderate"
"canceled","online",0,0,2,0,2,5,146.96,0,"continental",0,"studio",57,"moderate"
"not_canceled","online",0,0,2,0,0,3,91.8,2,"continental",0,"studio",232,"low"
"canceled","online",0,0,2,0,2,5,112.56,1,"continental",0,"suite",195,"moderate"
"not_canceled","online",0,0,2,0,1,1,126.9,1,"continental",0,"suite",60,"moderate"
"not_canceled","online",0,0,2,0,1,4,123.3,2,"continental",0,"studio",41,"peak"
"not_canceled","online",11,10,2,0,2,2,80.1,1,"continental",1,"suite",3,"low"
"not_canceled","mobile_app",0,0,1,0,0,2,80.5,0,"modified_american",1,"suite",63,"moderate"
"not_canceled","online",0,0,2,0,0,1,94.5,2,"american",0,"suite",63,"peak"
"not_canceled","mobile_app",0,0,1,0,1,1,110,0,"continental",0,"suite",118,"peak"
"not_canceled","online",0,0,1,0,2,2,125,0,"continental",0,"studio",23,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,1,75,0,"continental",1,"suite",22,"peak"
"not_canceled","mobile_app",0,0,2,0,0,3,75,0,"continental",0,"suite",44,"low"
"not_canceled","online",0,0,2,0,2,2,156.6,2,"modified_american",1,"studio",37,"peak"
"not_canceled","online",0,0,2,1,0,3,84.33,0,"continental",1,"suite",5,"moderate"
"not_canceled","online",0,0,2,0,1,3,87.67,2,"continental",1,"suite",237,"moderate"
"not_canceled","online",0,0,2,1,1,2,120,2,"continental",1,"suite",18,"low"
"not_canceled","online",0,0,2,0,1,1,127.5,1,"continental",1,"suite",42,"moderate"
"canceled","mobile_app",0,0,1,0,1,2,100,0,"continental",0,"suite",280,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,1,141,0,"continental",1,"suite",1,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,0,80,0,"modified_american",0,"suite",74,"moderate"
"not_canceled","online",0,0,2,0,0,2,92,0,"continental",0,"suite",10,"low"
"canceled","online",0,0,2,1,1,0,109.35,0,"continental",0,"suite",93,"peak"
"not_canceled","mobile_app",0,0,2,0,1,2,90.67,1,"continental",1,"suite",338,"moderate"
"not_canceled","online",0,0,2,0,1,3,88.4,0,"continental",0,"suite",21,"low"
"canceled","mobile_app",0,0,2,0,1,2,89,0,"continental",0,"suite",305,"low"
"not_canceled","online",0,0,1,0,0,1,85,0,"continental",0,"suite",1,"low"
"not_canceled","online",0,0,2,0,0,1,98.1,1,"continental",0,"suite",44,"moderate"
"canceled","mobile_app",0,0,1,0,1,0,98.1,0,"continental",0,"suite",4,"moderate"
"not_canceled","online",0,0,1,0,0,1,80,1,"continental",0,"suite",1,"low"
"canceled","online",0,0,2,0,2,0,139.5,0,"modified_american",0,"suite",196,"peak"
"canceled","travel_agency",0,0,2,0,1,0,85,0,"continental",0,"suite",12,"peak"
"not_canceled","mobile_app",0,0,2,0,2,3,78,0,"continental",1,"suite",268,"moderate"
"not_canceled","online",0,0,2,0,2,3,119.85,1,"continental",1,"suite",73,"moderate"
"not_canceled","online",0,0,2,0,2,2,133.65,2,"continental",0,"suite",141,"moderate"
"canceled","corporate_partner",0,0,2,0,0,2,140,0,"continental",0,"suite",64,"moderate"
"not_canceled","mobile_app",0,0,2,0,2,1,76.67,0,"continental",1,"suite",282,"moderate"
"not_canceled","online",0,0,1,0,1,3,114,1,"continental",1,"suite",6,"moderate"
"canceled","mobile_app",0,0,1,0,0,3,110,0,"continental",0,"suite",166,"low"
"not_canceled","online",0,0,2,0,1,2,81.08,1,"continental",1,"studio",94,"moderate"
"not_canceled","travel_agency",0,0,2,0,0,1,125.1,1,"american",0,"suite",56,"peak"
"canceled","mobile_app",0,0,2,0,0,2,100,0,"continental",0,"suite",211,"moderate"
"not_canceled","mobile_app",0,0,2,0,2,3,80,1,"continental",0,"suite",269,"low"
"not_canceled","online",0,0,1,0,0,1,123.2,1,"american",0,"suite",21,"low"
"canceled","mobile_app",0,0,2,0,1,3,80,0,"continental",0,"suite",322,"moderate"
"not_canceled","online",0,0,2,1,2,4,115.03,2,"continental",0,"suite",64,"moderate"
"not_canceled","online",0,0,2,0,2,1,119.33,1,"continental",0,"studio",27,"low"
"canceled","mobile_app",0,0,2,0,1,2,120,0,"continental",0,"suite",193,"peak"
"canceled","online",0,0,2,0,1,0,103.5,1,"american",0,"suite",146,"peak"
"canceled","online",0,0,2,0,0,4,115.2,1,"continental",0,"studio",231,"peak"
"not_canceled","online",0,0,2,0,2,1,123.3,1,"continental",0,"suite",147,"peak"
"not_canceled","online",0,0,1,0,0,2,140,2,"american",0,"suite",5,"low"
"not_canceled","online",0,0,2,0,2,1,99.3,1,"continental",0,"suite",64,"moderate"
"not_canceled","online",0,0,1,0,2,1,104.4,2,"continental",0,"studio",130,"moderate"
"canceled","online",0,0,1,0,2,4,103,0,"continental",0,"suite",7,"moderate"
"not_canceled","online",0,0,2,0,0,1,109,1,"american",1,"suite",0,"peak"
"canceled","online",0,0,2,0,3,10,98.62,2,"continental",0,"suite",5,"peak"
"canceled","online",0,0,2,0,2,1,108,1,"american",0,"suite",44,"moderate"
"canceled","online",0,0,2,0,1,2,96.05,0,"modified_american",0,"suite",116,"moderate"
"canceled","online",0,0,2,1,1,0,169,0,"continental",0,"suite",10,"peak"
"canceled","online",0,0,2,0,0,0,149.4,1,"continental",0,"studio",81,"moderate"
"not_canceled","online",0,0,2,0,1,3,121.75,1,"continental",0,"studio",19,"moderate"
"not_canceled","online",0,0,2,0,1,1,177.5,1,"continental",1,"studio",3,"moderate"
"not_canceled","online",0,0,2,0,2,2,90.95,1,"continental",0,"suite",231,"peak"
"canceled","online",0,0,2,1,4,8,110.5,2,"continental",0,"suite",171,"peak"
"canceled","online",0,0,2,1,1,1,130.5,1,"continental",0,"suite",155,"peak"
"not_canceled","online",0,0,2,0,0,1,107,1,"continental",0,"suite",2,"low"
"not_canceled","online",0,0,2,0,1,3,113.4,1,"continental",0,"studio",54,"peak"
"canceled","online",0,0,2,0,0,3,76.5,0,"continental",0,"suite",104,"peak"
"not_canceled","travel_agency",0,0,2,0,1,0,79.31,1,"continental",0,"suite",0,"moderate"
"not_canceled","travel_agency",0,0,2,0,0,1,135.9,1,"continental",1,"suite",53,"moderate"
"canceled","online",0,0,2,2,0,3,157.6,0,"continental",0,"executive_suite",75,"moderate"
"not_canceled","online",0,0,2,0,2,4,98.39,0,"continental",0,"suite",17,"low"
"canceled","mobile_app",0,0,2,0,2,1,94.5,0,"modified_american",0,"suite",138,"peak"
"canceled","mobile_app",0,0,2,0,0,3,110,0,"continental",0,"suite",279,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,3,105,0,"continental",0,"suite",37,"moderate"
"canceled","online",0,0,2,0,1,4,101.75,0,"continental",0,"suite",191,"peak"
"not_canceled","online",0,0,1,0,1,0,94.5,1,"continental",0,"suite",34,"peak"
"not_canceled","online",0,0,2,1,0,4,123.75,1,"continental",0,"suite",115,"peak"
"canceled","corporate_partner",0,0,1,0,0,3,100,0,"continental",0,"suite",113,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,3,123.67,2,"modified_american",0,"suite",13,"moderate"
"not_canceled","online",0,0,2,0,0,2,113.55,0,"continental",0,"suite",65,"moderate"
"canceled","mobile_app",0,0,2,0,0,1,108,0,"modified_american",1,"suite",219,"moderate"
"canceled","online",0,0,2,0,2,0,94.5,0,"american",1,"suite",174,"peak"
"not_canceled","corporate_partner",0,0,1,0,1,0,99.45,0,"continental",0,"suite",54,"moderate"
"not_canceled","online",0,0,2,0,1,1,155.54,2,"continental",1,"studio",1,"moderate"
"canceled","online",0,0,2,0,2,0,96.3,0,"continental",0,"suite",180,"peak"
"canceled","online",0,0,2,1,2,5,112.32,0,"continental",1,"suite",172,"peak"
"canceled","travel_agency",0,0,1,0,0,2,95,0,"continental",0,"suite",172,"peak"
"not_canceled","mobile_app",0,0,1,0,0,2,87,0,"modified_american",0,"suite",0,"peak"
"not_canceled","mobile_app",0,0,2,0,2,1,80.75,1,"continental",0,"suite",106,"moderate"
"not_canceled","online",0,0,2,0,0,1,145,2,"continental",0,"suite",4,"moderate"
"canceled","online",0,0,2,0,1,1,106,0,"continental",0,"studio",0,"low"
"not_canceled","corporate_partner",0,1,1,0,1,1,95,0,"continental",0,"suite",4,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,4,87.3,0,"continental",0,"studio",88,"peak"
"not_canceled","mobile_app",0,0,2,0,0,2,100,0,"continental",0,"suite",112,"peak"
"not_canceled","online",0,0,2,0,0,3,109,2,"american",0,"suite",36,"moderate"
"not_canceled","corporate_partner",0,1,1,0,1,2,95,0,"continental",0,"suite",32,"moderate"
"canceled","online",0,0,2,0,0,2,90,1,"continental",0,"suite",158,"low"
"not_canceled","online",0,0,2,1,2,5,158.56,0,"continental",0,"suite",162,"low"
"not_canceled","online",0,0,1,0,0,1,80,0,"continental",0,"suite",9,"low"
"not_canceled","travel_agency",0,0,1,0,1,2,132,0,"continental",0,"suite",3,"moderate"
"not_canceled","mobile_app",0,0,2,0,2,3,112.88,0,"modified_american",1,"presidential_suite",48,"moderate"
"canceled","online",0,0,2,0,0,1,149.4,0,"continental",0,"studio",64,"moderate"
"not_canceled","online",0,0,2,0,1,1,89.1,2,"american",1,"suite",54,"moderate"
"canceled","online",0,0,2,0,1,3,129.65,1,"continental",0,"suite",212,"moderate"
"canceled","online",0,0,2,0,1,4,120.7,1,"continental",0,"suite",151,"peak"
"not_canceled","mobile_app",0,0,2,0,0,1,104,0,"modified_american",0,"suite",48,"moderate"
"not_canceled","corporate_partner",0,0,1,0,0,1,79,0,"continental",0,"suite",6,"peak"
"canceled","mobile_app",0,0,1,0,1,0,90,0,"continental",0,"suite",9,"moderate"
"not_canceled","online",0,0,2,0,1,4,107.25,1,"continental",0,"studio",18,"moderate"
"canceled","online",0,0,2,0,1,5,128.4,0,"continental",0,"studio",35,"peak"
"not_canceled","online",0,0,2,0,1,4,114.3,1,"continental",1,"suite",81,"peak"
"not_canceled","online",0,0,2,0,1,3,103.7,1,"continental",0,"studio",81,"moderate"
"canceled","mobile_app",0,0,2,0,1,2,107,0,"modified_american",0,"suite",418,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,2,90,0,"modified_american",0,"suite",265,"peak"
"not_canceled","mobile_app",0,0,1,0,0,1,100,0,"continental",0,"suite",14,"moderate"
"not_canceled","online",0,0,2,0,0,1,89,1,"american",0,"suite",0,"moderate"
"canceled","online",0,0,2,0,0,3,114.9,0,"continental",0,"studio",113,"low"
"canceled","online",0,0,2,0,1,0,94.35,0,"continental",0,"suite",14,"moderate"
"canceled","mobile_app",0,0,1,0,0,2,130,0,"continental",0,"suite",188,"peak"
"not_canceled","mobile_app",0,0,2,0,0,4,80,0,"continental",0,"suite",270,"moderate"
"canceled","mobile_app",0,0,1,0,0,2,100,0,"continental",0,"suite",164,"moderate"
"not_canceled","online",0,0,2,1,2,2,121.2,2,"continental",0,"studio",21,"low"
"canceled","online",0,0,2,0,1,3,137.7,2,"continental",0,"studio",134,"moderate"
"not_canceled","online",0,0,2,0,0,3,116.67,1,"american",1,"suite",8,"low"
"not_canceled","mobile_app",0,0,2,0,2,1,95,1,"continental",1,"suite",44,"moderate"
"not_canceled","corporate_partner",0,11,1,0,0,1,88,1,"continental",0,"suite",27,"low"
"canceled","online",0,0,2,0,2,5,106.74,1,"continental",0,"studio",114,"moderate"
"canceled","mobile_app",0,0,2,0,1,1,115,1,"modified_american",0,"suite",247,"peak"
"not_canceled","online",0,0,2,0,2,5,92.91,3,"american",0,"suite",17,"low"
"not_canceled","online",0,0,1,0,0,1,75.2,0,"continental",0,"suite",25,"low"
"canceled","online",0,0,2,0,1,1,105.3,0,"continental",1,"suite",168,"peak"
"not_canceled","online",0,0,2,0,2,0,104,0,"continental",1,"suite",12,"low"
"not_canceled","mobile_app",0,0,2,0,0,3,80.75,0,"continental",0,"suite",126,"peak"
"not_canceled","online",0,0,2,0,0,3,90.08,1,"continental",0,"suite",97,"peak"
"not_canceled","online",0,0,1,0,0,3,115.5,0,"continental",0,"suite",43,"moderate"
"not_canceled","online",0,0,1,0,0,1,86,0,"continental",0,"suite",8,"moderate"
"not_canceled","online",0,0,2,0,0,2,108,1,"continental",0,"studio",6,"low"
"not_canceled","mobile_app",0,0,2,0,0,4,80,0,"continental",0,"suite",270,"moderate"
"canceled","online",0,0,2,2,1,2,168.3,0,"continental",0,"executive_suite",82,"moderate"
"canceled","online",0,0,1,0,1,0,108,0,"american",0,"suite",131,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,3,105,0,"continental",0,"suite",37,"moderate"
"not_canceled","online",0,0,2,0,1,2,108.9,0,"continental",1,"suite",58,"peak"
"not_canceled","mobile_app",0,0,2,0,1,4,80.75,0,"continental",0,"suite",154,"moderate"
"canceled","online",0,0,2,2,2,1,192.3,1,"continental",0,"executive_suite",139,"peak"
"not_canceled","mobile_app",0,0,2,0,2,1,94.5,0,"modified_american",1,"suite",103,"peak"
"not_canceled","mobile_app",0,0,2,0,0,2,101.5,0,"modified_american",1,"suite",39,"peak"
"canceled","online",0,0,2,2,1,2,183.3,0,"continental",0,"executive_suite",118,"peak"
"not_canceled","online",0,0,2,0,0,1,135.9,2,"continental",0,"suite",116,"moderate"
"not_canceled","online",0,0,2,0,1,1,133.5,2,"continental",1,"suite",26,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,3,85.67,0,"continental",0,"suite",271,"moderate"
"canceled","online",0,0,2,2,0,2,186.3,0,"continental",0,"executive_suite",89,"peak"
"not_canceled","online",0,0,2,0,2,2,107.1,1,"continental",0,"studio",49,"moderate"
"canceled","mobile_app",0,0,1,0,2,4,120,0,"continental",0,"suite",69,"peak"
"not_canceled","online",0,0,2,0,1,2,162.67,2,"modified_american",0,"studio",21,"low"
"canceled","online",0,0,2,0,2,0,94.35,0,"continental",0,"suite",36,"peak"
"not_canceled","online",0,0,2,0,1,2,96.3,1,"continental",0,"suite",230,"moderate"
"not_canceled","mobile_app",0,0,1,0,1,0,99,0,"continental",0,"suite",57,"moderate"
"not_canceled","mobile_app",0,0,1,0,0,3,95,0,"continental",0,"suite",37,"moderate"
"not_canceled","online",0,0,2,0,0,3,80.08,1,"continental",0,"suite",25,"low"
"not_canceled","online",0,0,2,0,0,4,86.58,0,"continental",1,"studio",54,"moderate"
"not_canceled","online",0,0,2,0,1,3,77.35,1,"continental",1,"suite",47,"moderate"
"canceled","online",0,0,2,0,1,2,102.25,1,"modified_american",0,"suite",194,"peak"
"canceled","mobile_app",0,0,2,0,2,5,78.2,0,"continental",1,"studio",96,"low"
"canceled","mobile_app",0,0,1,0,2,4,120,0,"continental",0,"suite",69,"peak"
"not_canceled","corporate_partner",0,1,1,0,0,1,79,0,"continental",0,"suite",1,"low"
"not_canceled","mobile_app",0,0,1,0,0,2,95,0,"continental",1,"suite",192,"peak"
"not_canceled","online",0,0,2,0,2,0,99.45,1,"continental",1,"studio",93,"moderate"
"not_canceled","mobile_app",0,0,2,0,2,2,81.09,0,"continental",1,"suite",69,"moderate"
"not_canceled","online",0,0,2,0,2,1,139,1,"american",0,"suite",22,"peak"
"canceled","mobile_app",0,0,2,0,0,3,224.67,0,"modified_american",0,"suite",34,"moderate"
"not_canceled","corporate_partner",0,4,1,0,0,1,110,0,"continental",0,"studio",4,"moderate"
"not_canceled","online",0,0,2,0,0,2,107,2,"continental",0,"suite",24,"moderate"
"not_canceled","online",0,0,1,0,0,3,81,1,"continental",0,"suite",14,"low"
"not_canceled","online",0,1,2,0,0,3,123.33,1,"continental",0,"suite",18,"low"
"canceled","online",0,0,2,0,2,1,96.3,2,"continental",0,"suite",194,"moderate"
"not_canceled","online",0,0,2,0,2,5,153.03,0,"modified_american",1,"suite",14,"moderate"
"canceled","online",0,0,2,0,1,4,79.05,0,"continental",0,"suite",69,"moderate"
"canceled","mobile_app",0,0,2,0,1,2,75,0,"continental",0,"suite",141,"peak"
"not_canceled","mobile_app",0,0,1,0,0,2,100,0,"continental",0,"suite",65,"moderate"
"not_canceled","online",0,0,1,0,0,1,95,1,"american",0,"suite",0,"low"
